common_name,scientific_name,Wet Paddy fields,Open Areas,"Groves,Gardens and Plantations",Habitation,Dry Grassland,Hill Grassland,Wet Grassland,High Altitude Grassland,Reeds,Dry Deciduous,Hill Shrubland,Thorny Scrub,Rocky Scrub,Tropical Rainforest,Bamboo Forest,Shola Forest,Moist Deciduous,Subtropical Montane Forest,Mixed Forest,Oak Forest,Coniferous Forest,Forest Swamp,Short Grass Marshes,High Shrubbery,High Alpine,Inland Water,Inland Mudflats,Coastal Mudflats,Beaches,Pelagic Waters,Hot Desert,Semi-Desert,Cold Desert,Mangrove Swamps,Salt Pans,Lagoons,Rivers,High Altitude Lakes,Brackish Backwaters
Fulvous Whistling-Duck,Dendrocygna bicolor,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Lesser Whistling-Duck,Dendrocygna javanica,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
White-headed Duck,Oxyura leucocephala,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1
Mute Swan,Cygnus olor,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Tundra Swan,Cygnus columbianus,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Whooper Swan,Cygnus cygnus,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Red-breasted Goose,Branta ruficollis,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Bar-headed Goose,Anser indicus,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,1,1
Graylag Goose,Anser anser,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,1
Taiga Bean-Goose,Anser fabalis,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Tundra Bean-Goose,Anser serrirostris,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Greater White-fronted Goose,Anser albifrons,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,
Lesser White-fronted Goose,Anser erythropus,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,
Long-tailed Duck,Clangula hyemalis,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Common Goldeneye,Bucephala clangula,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,
