catalogNumber,institutionCode,scientific_name,individualCount,year,month,day,locality,historical_site_code,decimalLatitude,decimalLongitude,collectedBy,coordinateUncertaintyInMeters,notes,common_name,species_code,order
BIB11,JournalData,Accipiter nisus,X,1881,2,7,Ootacamund,OTCM,NA,NA,W Davison,,,Eurasian Sparrowhawk,EUSP,Accipitriformes
BIB11,JournalData,Accipiter virgatus,2,1881,NA,NA,Coonoor Ghat,CNRG,NA,NA,W Davison,,,Besra,BESR,Accipitriformes
140510,UMMZ,Accipiter virgatus,,1937,2,16,Ootacamund,OTCM,11.4,76.699997,W Koelz,,Janet Hinshaw,Besra,BESR,Accipitriformes
25784,BNHS,Acridotheres fuscus,,1975,2,23,Ootacamund,OTCM,NA,NA,H Abdulali & R J Pimento,,,Jungle Myna,JUMY,Passeriformes
25785,BNHS,Acridotheres fuscus,,1975,2,23,Ootacamund,OTCM,NA,NA,H Abdulali & R J Pimento,,,Jungle Myna,JUMY,Passeriformes
25786,BNHS,Acridotheres fuscus,,1975,2,23,Ootacamund,OTCM,NA,NA,H Abdulali & R J Pimento,,,Jungle Myna,JUMY,Passeriformes
243450,FMNH,Acridotheres fuscus,,1937,2,16,Ootacamund,OTCM,NA,NA,,,,Jungle Myna,JUMY,Passeriformes
310095,FMNH,Acridotheres fuscus,,1881,2,26,Ootacamund,OTCM,NA,NA,,,,Jungle Myna,JUMY,Passeriformes
BIB96,JournalData,Acridotheres fuscus,4,2002,NA,NA,Avalanche,AVLC,NA,NA,A A Zarri,,,Jungle Myna,JUMY,Passeriformes
BIB96,JournalData,Acridotheres fuscus,2,2003,2,7,Avalanche,AVLC,NA,NA,A A Zarri,,,Jungle Myna,JUMY,Passeriformes
BIB28,JournalData,Acridotheres fuscus,X,1904,5,NA,Coonoor,CNRG,NA,NA,D Dewar,,,Jungle Myna,JUMY,Passeriformes
34762,MCZ,Acridotheres fuscus,,1867,3,20,Ootacamund,OTCM,11.411821,76.702328,,3036,,Jungle Myna,JUMY,Passeriformes
87.7.1.368,NHM Tring,Acridotheres fuscus,,1873,2,6,Coonoor,CNRG,NA,NA,F Day,,Hume coll.,Jungle Myna,JUMY,Passeriformes
88.9.20.191,NHM Tring,Acridotheres fuscus,,1896,8,22,Coonoor,CNRG,NA,NA,R G Wardlaw-Ramsay,,Tweedale coll.,Jungle Myna,JUMY,Passeriformes
87.7.1.1030,NHM Tring,Acridotheres fuscus,,1881,1,24,Coonoor,CNRG,NA,NA,W Davison,,Hume coll.,Jungle Myna,JUMY,Passeriformes
87.7.1.273,NHM Tring,Acridotheres fuscus,,1874,4,18,Kotagiri,LWSL,NA,NA,M Cockburn,,Hume coll.,Jungle Myna,JUMY,Passeriformes
1949.Whi.1.15081,NHM Tring,Acridotheres fuscus,,1901,7,14,Ootacamund,OTCM,NA,NA,H Whistler,,,Jungle Myna,JUMY,Passeriformes
88.9.20.172,NHM Tring,Acridotheres fuscus,,1876,6,25,Ootacamund,OTCM,NA,NA,R M Adam,,,Jungle Myna,JUMY,Passeriformes
87.7.1.406,NHM Tring,Acridotheres fuscus,,1876,4,15,Ootacamund,OTCM,NA,NA,W Davison,,Hume coll.,Jungle Myna,JUMY,Passeriformes
87.7.1.403,NHM Tring,Acridotheres fuscus,,1876,4,15,Ootacamund,OTCM,NA,NA,W Davison,,Hume coll.,Jungle Myna,JUMY,Passeriformes
87.7.1.1031,NHM Tring,Acridotheres fuscus,,1881,3,22,Ootacamund,OTCM,NA,NA,W Davison,,Hume coll.,Jungle Myna,JUMY,Passeriformes
87.7.1.404,NHM Tring,Acridotheres fuscus,,1876,4,15,Ootacamund,OTCM,NA,NA,W Davison,,Hume coll.,Jungle Myna,JUMY,Passeriformes
