modern_site_code,site_name,historical_site_code,longitude,latitude,modern_landCover_type
ASFQ10,,,76.60214845,11.50345721,
ASFQ12,,,76.88032238,11.49702101,
ASFQ15,,,76.7942723,11.48717461,
ASFQ16,,,76.7793,11.4651,
ASFQ17,,,76.62574652,11.4453058,
ASFQ18,,,76.78027378,11.44161317,
ASFQ19,,,76.61706892,11.44092801,
ASFQ22,,,76.66552,11.4226,
ASFQ23,,,76.62467365,11.41579618,
ASFQ25,,,76.72919502,11.41410156,
ASFQ27,,,76.66983965,11.41041649,
ASFQ28,,,76.62860337,11.4085924,
ASFQ29,,,76.78223094,11.40596375,
ASFQ3,,,76.59621913,11.51822191,
ASFQ31,,,76.66553779,11.39956613,
ASFQ32,,,76.67809,11.39455,
ASFQ34,,,76.76929652,11.39300698,
ASFQ36,,,76.88750854,11.38456603,
ASFQ37,,,76.66344467,11.38277077,
ASFQ39,,,76.7757081,11.37321922,
ASFQ41,,,76.6782102,11.35443825,
ASFQ42,,,76.6286255,11.35142201,
ASFQ43,,,76.57028335,11.34768537,
ASFQ45,,,76.58705588,11.34048546,
ASFQ46,,,76.70524849,11.33347855,
ASFQ47,,,76.56527554,11.32850959,
ASFQ48,,,76.73574117,11.32845085,
ASFQ50,,,76.61974909,11.31436879,
ASFQ51,,,76.67748725,11.31403575,
ASFQ52,,,76.66696305,11.30984907,
ASFQ53,,,76.73793628,11.30905469,
ASFQ55,,,76.56310215,11.30790616,
ASFQ56,,,76.61229999,11.30789132,
ASFQ58,,,76.58461073,11.30253438,
ASFQ59,,,76.7812738,11.29704546,
ASFQ60,,,76.66230637,11.29425705,
ASFQ61,,,76.5604073,11.28758052,
ASFQ62,,,76.57466976,11.28260159,
ASFQ63,,,76.68860598,11.28023945,
ASFQ65,,,76.5677996,11.27151582,
ASFQ67,,,76.58533724,11.26236515,
ASFQ68,,,76.63119161,11.26118448,
ASFQ71,,,76.6220776,11.24818407,
ASFQ72,,,76.57016125,11.24730361,
ASFQ73,,,76.54897909,11.24020778,
ASFQ75,,,76.62106899,11.23704596,
ASFQ76,,,76.59274613,11.22619063,
ASFQ77,,,76.61020697,11.22592389,
ASFQ78,,,76.64183528,11.21577952,
ASFQ8,,,76.85221568,11.50484336,
AVLC1,Avalanche,AVLC,76.603,11.302,Shola Forest
AVLC2,Avalanche,AVLC,76.592,11.299,Shola Forest
BGOT1,Ooty Botanical Garden,BGOT,76.714,11.42,Plantation
BVLR1,Burliar,BVLR,76.835,11.351,Shola Forest
BVLR2,Burliar,BVLR,76.84,11.343,Non-shola forest
CNRG1,Coonoor Ghat,CNRG,76.805,11.345,Shola Forest
CNRG2,Coonoor Ghat,CNRG,76.79,11.339,Plantation
DDBT1,Doddabetta,DDBT,76.73558,11.4015,Shola Forest
EMVL1,Emerald Valley,EMVL,76.58027,11.35123,Shola Forest
EMVL2,Emerald Valley,EMVL,76.594,11.348,Shola Forest
FHEK1,Fern Hill Tea Estate,FHEK,76.914,11.459,Shola Forest
GDLR1,Gudalur,GDLR,76.51434,11.4872,Non-shola forest
GDLR2,Gudalur,GDLR,76.52622,11.49314,Non-shola forest
GVSL1,Governor Shola,GVSL,76.64279,11.39221,Plantation
HTHP1,Hotel Hampton,HTHP,76.817,11.35,Shola Forest
KDND1,Kodanadu,KDND,76.7,11.4667,Plantation
KJPN1,Kunjapanai,KJPN,76.932,11.359,Non-shola forest
KJPN2,Kunjapanai,KJPN,76.921,11.358,Non-shola forest
KKTG1,Kil-Kotagiri,KKTG,76.936,11.452,Plantation
KLHT1,Kalhatti,KLHT,76.68286,11.460672,Plantation
KMFD1,Kilmelford,KMFD,76.896385,11.469283,Plantation
KMFD2,Kilmelford,KMFD,76.91277,11.4477,Plantation
KNSL1,Kunsholai,KNSL,76.906,11.451,Plantation
KUKL1,Kukal,KUKL,76.863,11.433,Plantation
KULR1,Kullar,KULR,76.859,11.354,Non-shola forest
KULR2,Kullar,KULR,76.868,11.345,Non-shola forest
LDNH2,Lovedale,LVDL,76.6962,11.36707,Shola Forest
LWSL1,Longwood Shola,LWSL,76.873,11.439,Shola Forest
NDVT1,Naduvattum,NDVT,76.549,11.488,Plantation
NDVT2,Naduvattum,NDVT,76.548,11.478,Shola Forest
OTCM1,Ootacamund,OTCM,76.696,11.412,Plantation
OTCM2,Ootacamund,OTCM,76.708,11.399,Plantation
OTCM3,Ootacamund,OTCM,76.70851,11.38741,Shola Forest
RNMD1,Runnymede,RNMD,76.796,11.332,Shola Forest
RNMD2,Runnymede,RNMD,76.783,11.328,Plantation
SMPK2,Sim's Park,SMPK,76.799,11.356,Plantation
TMTE1,Terramia Tea Estate,TMTE,76.705255,11.281124,Shola Forest
TSTE1,Thiashola,TSTE,76.61246,11.21223,Shola Forest
WLTN1,Wellington,WLTN,76.789,11.365,Plantation
WLTN2,Wellington,WLTN,76.779,11.355,Plantation
WTCM1,Western Catchment,WTCM,76.561,11.344,Forest-Grassland
WTCM2,Western Catchment,WTCM,76.552,11.333,Forest-Grassland
