day,month,year,modern_site_code,historical_site_code,start_time,number,time_seg,HSF,notes,scientific_name,common_name,species_code,order,family
25,2,2021,ASFQ10,NA,8:41,1,1,H,,Prinia socialis,Ashy Prinia,ASPR,Passeriformes,Cisticolidae (Cisticolas and Allies)
25,2,2021,ASFQ10,NA,8:41,1,3,H,,Prinia socialis,Ashy Prinia,ASPR,Passeriformes,Cisticolidae (Cisticolas and Allies)
25,2,2021,ASFQ10,NA,8:41,2,2,H,,Acrocephalus dumetorum,Blyth's Reed Warbler,BRWA,Passeriformes,Acrocephalidae (Reed Warblers and Allies)
25,2,2021,ASFQ10,NA,8:41,1,3,H,,Upupa epops,Eurasian Hoopoe,EUHO,Bucerotiformes,Upupidae (Hoopoes)
25,2,2021,ASFQ10,NA,8:41,1,1,H,,Gallus sonneratii,Gray Junglefowl,GRJU,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
25,2,2021,ASFQ10,NA,8:41,3,1,S,,Hirundo domicola,Hill Swallow,HISW,Passeriformes,Hirundinidae (Swallows)
25,2,2021,ASFQ10,NA,8:41,1,1,H,,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,ISBA,Passeriformes,"Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)"
25,2,2021,ASFQ10,NA,8:41,3,1,H,,Corvus macrorhynchos,Large-billed Crow,LBCR,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
25,2,2021,ASFQ10,NA,8:41,1,1,S,,Corvus macrorhynchos,Large-billed Crow,LBCR,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
25,2,2021,ASFQ10,NA,8:41,1,1,H,,Lanius schach,Long-tailed Shrike,LTSH,Passeriformes,Laniidae (Shrikes)
25,2,2021,ASFQ10,NA,8:41,1,2,H,,Lanius schach,Long-tailed Shrike,LTSH,Passeriformes,Laniidae (Shrikes)
25,2,2021,ASFQ10,NA,8:41,1,2,H,,Saxicola caprata,Pied Bushchat,PIBU,Passeriformes,Muscicapidae (Old World Flycatchers)
25,2,2021,ASFQ10,NA,8:41,1,2,H,,Perdicula erythrorhyncha,Painted Bush Quail,PBQU,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
25,2,2021,ASFQ10,NA,8:41,1,3,H,,Cinnyris asiaticus,Purple Sunbird,PUSU,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters)
25,2,2021,ASFQ10,NA,8:41,3,1,H,,Pycnonotus jocosus,Red-whiskered Bulbul,RWBU,Passeriformes,Pycnonotidae (Bulbuls)
25,2,2021,ASFQ10,NA,8:41,2,2,S,,Pycnonotus jocosus,Red-whiskered Bulbul,RWBU,Passeriformes,Pycnonotidae (Bulbuls)
25,2,2021,ASFQ10,NA,8:41,1,3,S,,Pycnonotus jocosus,Red-whiskered Bulbul,RWBU,Passeriformes,Pycnonotidae (Bulbuls)
25,2,2021,ASFQ10,NA,8:41,1,2,H,,Sitta frontalis,Velvet-fronted Nuthatch,VFNU,Passeriformes,Sittidae (Nuthatches)
25,2,2021,ASFQ10,NA,8:41,1,2,H,,Psilopogon viridis,White-cheeked Barbet,WCBA,Piciformes,Megalaimidae (Asian Barbets)
13,2,2021,ASFQ12,NA,9:37,1,2,H,,Hemipus picatus,Bar-winged Flycatcher-shrike,BWFS,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)"
13,2,2021,ASFQ12,NA,9:37,2,2,H,,Parus cinereus,Cinereous Tit,CITI,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)"
13,2,2021,ASFQ12,NA,9:37,1,2,H,,Orthotomus sutorius,Common Tailorbird,COTA,Passeriformes,Cisticolidae (Cisticolas and Allies)
13,2,2021,ASFQ12,NA,9:37,2,3,H,,Centropus sinensis,Greater Coucal,GRCO,Cuculiformes,Cuculidae (Cuckoos)
13,2,2021,ASFQ12,NA,9:37,2,1,H,,Gallus sonneratii,Gray Junglefowl,GRJU,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
13,2,2021,ASFQ12,NA,9:37,1,1,H,,Phylloscopus trochiloides,Greenish Warbler,GRWA,Passeriformes,Phylloscopidae (Leaf Warblers)
13,2,2021,ASFQ12,NA,9:37,2,1,H,confirm,Larvivora brunnea,Indian Blue Robin,IBRO,Passeriformes,Muscicapidae (Old World Flycatchers)
13,2,2021,ASFQ12,NA,9:37,1,1,H,,Pavo cristatus,Indian Peafowl,INPE,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
13,2,2021,ASFQ12,NA,9:37,1,1,H,,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,ISBA,Passeriformes,"Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)"
13,2,2021,ASFQ12,NA,9:37,2,3,H,,Corvus macrorhynchos,Large-billed Crow,LBCR,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
13,2,2021,ASFQ12,NA,9:37,1,2,H,confirm,Geokichla citrina,Orange-headed Thrush,OHTH,Passeriformes,Turdidae (Thrushes and Allies)
