modern_site_code,historical_site_code,longitude,latitude,ID,t_mean_dry_2010,t_mean_rainy_2010,ppt_dry_2010,ppt_rainy_2010
ASFQ10,NA,76.60214845,11.50345721,1,1.053013801574707,1.2119007110595703,-11.782859802246094,5.823577880859375
ASFQ12,NA,76.88032238,11.49702101,2,1.030923843383789,1.2209739685058594,-10.641441345214844,4.80218505859375
ASFQ15,NA,76.7942723,11.48717461,3,1.036905288696289,1.203042984008789,-11.316627502441406,8.1678466796875
ASFQ16,NA,76.7793,11.4651,4,1.0565547943115234,1.2264617284138997,-9.700597127278646,8.755503336588541
ASFQ17,NA,76.62574652,11.4453058,5,1.11760679880778,1.243918736775716,-10.116999308268229,16.073410034179688
ASFQ18,NA,76.78027378,11.44161317,6,1.070281982421875,1.228507359822591,-8.576712290445963,11.953175862630209
ASFQ19,NA,76.61706892,11.44092801,7,1.1171602249145507,1.2475563049316407,-9.599449920654298,15.359005737304688
ASFQ22,NA,76.66552,11.4226,8,1.1286379496256511,1.2500063578287761,-8.598214467366537,18.94611104329427
ASFQ23,NA,76.62467365,11.41579618,9,1.128171157836914,1.2398715972900392,-9.812315368652344,19.93441162109375
ASFQ25,NA,76.72919502,11.41410156,10,1.1487245559692383,1.2364444732666016,-10.533119201660156,26.806259155273438
ASFQ27,NA,76.66983965,11.41041649,11,1.1331939697265625,1.2527008056640625,-8.512645721435547,19.74420166015625
ASFQ28,NA,76.62860337,11.4085924,12,1.142472267150879,1.2545655568440754,-9.615498860677084,20.62341817220052
ASFQ29,NA,76.78223094,11.40596375,13,1.1020322799682618,1.2177045822143555,-9.323553466796875,21.4091064453125
ASFQ3,NA,76.59621913,11.51822191,14,0.9332008361816406,1.1656252543131511,-10.881950378417969,-11.876993815104166
ASFQ31,NA,76.66553779,11.39956613,15,1.1227756500244142,1.2452400207519532,-7.852055358886719,19.2659912109375
ASFQ32,NA,76.67809,11.39455,16,1.133397102355957,1.2573013305664062,-8.166751861572266,19.753021240234375
ASFQ34,NA,76.76929652,11.39300698,17,1.1219393412272136,1.2726058959960938,-7.790293375651042,16.675369262695312
ASFQ36,NA,76.88750854,11.38456603,18,0.9201107025146484,1.1590315500895183,-8.159037272135416,-3.207819620768229
ASFQ37,NA,76.66344467,11.38277077,19,1.0997670491536458,1.2400137583414714,-6.7210540771484375,15.95166015625
ASFQ39,NA,76.7757081,11.37321922,20,1.0522354125976563,1.2328834533691406,-7.096174621582032,9.899472045898438
ASFQ41,NA,76.6782102,11.35443825,21,1.1018314361572266,1.240652084350586,-7.7904815673828125,17.547561645507812
