modern_site_code,class,year_1870,year_2017
ASFQ10,Shola Forest,1,NA
ASFQ10,Shola Grassland,1,NA
ASFQ12,Shola Grassland,1,0.5
ASFQ15,Shola Grassland,1,1
ASFQ16,Shola Grassland,1,NA
ASFQ17,Shola Forest,1,1
ASFQ17,Shola Grassland,1,1
ASFQ18,Shola Grassland,1,NA
ASFQ19,Shola Forest,1,NA
ASFQ19,Shola Grassland,1,1
ASFQ22,Shola Grassland,1,NA
ASFQ23,Shola Forest,1,NA
ASFQ23,Shola Grassland,1,NA
ASFQ25,Shola Forest,1,1
ASFQ25,Shola Grassland,1,NA
ASFQ27,Shola Grassland,1,NA
ASFQ28,Shola Forest,1,NA
ASFQ28,Shola Grassland,1,NA
ASFQ29,Shola Forest,1,0.5
ASFQ29,Shola Grassland,1,NA
ASFQ3,Shola Grassland,1,0.5
ASFQ31,Shola Forest,1,NA
ASFQ31,Shola Grassland,1,NA
ASFQ32,settlements,1,NA
ASFQ32,Shola Forest,1,1
ASFQ32,Shola Grassland,1,NA
ASFQ34,Shola Grassland,1,1
ASFQ36,cultivated tracts,1,NA
ASFQ36,Shola Grassland,1,NA
ASFQ37,Shola Grassland,1,NA
ASFQ39,Shola Grassland,1,NA
ASFQ41,Shola Grassland,1,NA
ASFQ42,Shola Grassland,1,NA
ASFQ43,Shola Forest,1,1
ASFQ43,Shola Grassland,1,NA
ASFQ45,Shola Forest,1,1
ASFQ45,Shola Grassland,1,0.5
ASFQ46,Shola Grassland,1,NA
ASFQ48,Shola Grassland,1,NA
ASFQ50,Shola Grassland,1,NA
ASFQ50,waterbodies,1,NA
ASFQ51,Shola Forest,1,NA
ASFQ51,Shola Grassland,1,NA
ASFQ52,Shola Grassland,1,NA
ASFQ53,Shola Forest,1,NA
ASFQ53,Shola Grassland,1,NA
ASFQ55,Shola Forest,1,1
ASFQ55,Shola Grassland,1,0.5
ASFQ56,Shola Grassland,1,NA
ASFQ56,waterbodies,1,NA
ASFQ58,Shola Grassland,1,0.3333333333333333
ASFQ59,Shola Forest,1,1
ASFQ59,Shola Grassland,1,NA
ASFQ60,Shola Grassland,1,NA
ASFQ61,Shola Forest,1,NA
ASFQ61,Shola Grassland,1,0.3333333333333333
ASFQ62,Shola Forest,1,1
ASFQ62,Shola Grassland,1,1
ASFQ63,Shola Grassland,1,NA
ASFQ65,Shola Forest,1,NA
ASFQ65,Shola Grassland,1,0.5
ASFQ67,Shola Forest,1,1
ASFQ67,Shola Grassland,1,1
ASFQ68,settlements,1,NA
ASFQ68,Shola Forest,1,NA
ASFQ68,Shola Grassland,1,NA
ASFQ71,settlements,1,NA
ASFQ71,Shola Forest,1,0.5
ASFQ71,Shola Grassland,1,0.25
ASFQ72,Shola Forest,1,0.5
ASFQ72,Shola Grassland,1,NA
ASFQ73,Shola Forest,1,NA
ASFQ73,Shola Grassland,1,0.33333333333333337
ASFQ75,settlements,1,NA
ASFQ75,Shola Forest,1,1
ASFQ75,Shola Grassland,1,NA
ASFQ76,Shola Forest,1,0.5
ASFQ76,Shola Grassland,1,NA
ASFQ77,settlements,1,NA
ASFQ77,Shola Forest,1,1
ASFQ77,Shola Grassland,1,NA
ASFQ78,Shola Grassland,1,0.5
ASFQ8,Shola Grassland,1,0.5
AVLC1,Shola Grassland,1,NA
AVLC2,Shola Grassland,1,1
BGOT1,settlements,1,NA
BGOT1,Shola Forest,1,NA
BGOT1,Shola Grassland,1,NA
BVLR1,Shola Forest,1,1
BVLR1,Shola Grassland,1,NA
CNRG1,Shola Forest,1,NA
CNRG1,Shola Grassland,1,NA
CNRG2,Shola Forest,1,NA
CNRG2,Shola Grassland,1,NA
DDBT1,Shola Grassland,1,NA
EMVL1,Shola Forest,1,1
EMVL1,Shola Grassland,1,NA
EMVL2,Shola Forest,1,1
EMVL2,Shola Grassland,1,NA
FHEK1,Shola Forest,1,1
FHEK1,Shola Grassland,1,NA
GDLR2,Shola Grassland,1,NA
GVSL1,Shola Grassland,1,NA
HTHP1,Shola Forest,1,1
HTHP1,Shola Grassland,1,NA
KDND1,Shola Grassland,1,NA
KKTG1,Shola Grassland,1,NA
KLHT1,Shola Grassland,1,NA
KMFD1,Shola Grassland,1,NA
KMFD2,Shola Forest,1,NA
KMFD2,Shola Grassland,1,NA
KNSL1,Shola Forest,1,NA
KNSL1,Shola Grassland,1,NA
KUKL1,Shola Grassland,1,NA
LDNH2,Shola Forest,1,1
LDNH2,Shola Grassland,1,NA
LWSL1,Shola Forest,1,1
LWSL1,Shola Grassland,1,NA
NDVT1,Shola Forest,1,NA
NDVT1,Shola Grassland,1,NA
NDVT2,Shola Forest,1,1
NDVT2,Shola Grassland,1,NA
OTCM1,settlements,1,NA
OTCM1,Shola Grassland,1,NA
OTCM2,Shola Forest,1,NA
OTCM2,Shola Grassland,1,NA
OTCM3,Shola Forest,1,1
OTCM3,Shola Grassland,1,NA
RNMD1,settlements,1,NA
RNMD1,Shola Forest,1,NA
RNMD1,Shola Grassland,1,NA
RNMD2,Shola Forest,1,NA
RNMD2,Shola Grassland,1,NA
SMPK2,Shola Grassland,1,NA
TMTE1,Shola Grassland,1,NA
TSTE1,Shola Forest,1,1
TSTE1,Shola Grassland,1,NA
WLTN1,Shola Grassland,1,NA
WLTN2,settlements,1,NA
WLTN2,Shola Grassland,1,NA
WTCM1,Shola Forest,1,1
WTCM1,Shola Grassland,1,0.5
WTCM2,Shola Grassland,1,1
ASFQ10,Agricultural Land,NA,1
ASFQ10,Tea Plantations,NA,1
ASFQ10,Timber Plantations,NA,1
ASFQ10,Water bodies,NA,1
ASFQ12,Tea Plantations,NA,1
ASFQ12,Timber Plantations,NA,1
ASFQ15,Agricultural Land,NA,1
ASFQ15,Shola Forest,NA,0.3333333333333333
ASFQ15,Timber Plantations,NA,1
ASFQ16,Agricultural Land,NA,1
ASFQ16,Settlements,NA,1
ASFQ16,Tea Plantations,NA,1
ASFQ17,Timber Plantations,NA,0.25
ASFQ18,Agricultural Land,NA,1
ASFQ18,Tea Plantations,NA,1
ASFQ19,Timber Plantations,NA,0.5
ASFQ22,Agricultural Land,NA,0.125
ASFQ22,Tea Plantations,NA,0.19999999999999998
ASFQ22,Timber Plantations,NA,1
ASFQ23,Tea Plantations,NA,1
