scientific_name,common_name,species_code,eBird_codes
Muscicapa dauurica,Asian Brown Flycatcher,ABF,ABF
Chalcophaps indica,Asian Emerald Dove,AED,AEDO
Irena puella,Asian Fairy-bluebird,AFB,AFBL
Apus melba,Alpine Swift,APS,ALSW
Dicrurus leucophaeus,Ashy Drongo,AD,ASDR
Eudynamys scolopaceus,Asian Koel,AK,ASKO
Prinia socialis,Ashy Prinia,AP,ASPR
Artamus fuscus,Ashy Woodswallow,NA,ASWO
Ficedula nigrorufa,Black-and-orange Flycatcher,BAOF,BAOF
Hirundo rustica,Barn Swallow,NA,BASW
Nyctyornis athertoni,Blue-bearded Bee-eater,BBBE,BBBE
Cacomantis sonneratii,Banded Bay Cuckoo,NA,BBCU
Hirundapus giganteus,Brown-backed Needletail,NA,BBNE
Alcippe poioicephala,Brown-cheeked Fulvetta,BCF,BCFU
Yungipicus nanus,Brown-capped Pygmy Woodpecker,NA,BCPW
Monticola cinclorhyncha,Blue-capped Rock-Thrush,NA,BCRT
Accipiter virgatus,Besra,NA,BESR
Phaenicophaeus viridirostris,Blue-faced Malkoha,BFM,BFMA
Ketupa zeylonensis,Brown Fish-Owl,BFO,BFOW
Lalage melanoptera,Black-headed Cuckooshrike,NA,BHCU
Oriolus xanthornus,Black-hooded Oriole,NA,BHOR
Aviceda leuphotes,Black Baza,NA,BLBA
Dicrurus macrocercus,Black Drongo,BLD,BLDR
Ictinaetus malaiensis,Black Eagle,BE,BLEA
Milvus migrans,Black Kite,NA,BLKI
Anthus godlewskii,Blyth's Pipit,NA,BLPI
Aquila fasciata,Bonelli's Eagle,NA,BNEA
Hypothymis azurea,Black-naped Monarch,BNM,BNMO
Oriolus chinensis,Black-naped Oriole,NA,BNOR
Hieraaetus pennatus,Booted Eagle,BTE,BOEA
Dicrurus aeneus,Bronzed Drongo,BD,BRDR
Dinopium benghalense,Black-rumped Flameback,BRF,BRFL
Haliastur indus,Brahminy Kite,NA,BRKI
Lanius cristatus,Brown Shrike,NA,BRSH
Sturnia pagodarum,Brahminy Starling,NA,BRST
Acrocephalus dumetorum,Blyth's Reed Warbler,BRW,BRWA
Merops philippinus,Blue-tailed Bee-eater,NA,BTBE
Cyornis rubeculoides,Blue-throated Flycatcher,NA,BTFL
Lonchura kelaarti,Black-throated Munia,NA,BTMU
Hemipus picatus,Bar-winged Flycatcher-shrike,BWFS,BWFS
Elanus caeruleus,Black-winged Kite,BWK,BWKI
Strix leptogrammica,Brown Wood-Owl,NA,BWOW
Bubulcus ibis,Cattle Egret,CE,CAEG
Leptocoma minima,Crimson-backed Sunbird,CBS,CBSU
Merops leschenaulti,Chestnut-headed Bee-eater,CHBE,CHBE
Parus cinereus,Cinereous Tit,CT,CITI
Psilopogon haemacephalus,Coppersmith Barbet,CSB,COBA
Buteo buteo,Common Buzzard,CBZ,COBU
Hierococcyx varius,Common Hawk-Cuckoo,NA,COHC
Aegithina tiphia,Common Iora,CI,COIO
Acridotheres tristis,Common Myna,NA,COMY
Carpodacus erythrinus,Common Rosefinch,CRF,CORO
Orthotomus sutorius,Common Tailorbird,CTB,COTA
Spilornis cheela,Crested Serpent-Eagle,CSE,CSEA
Sturnia malabarica,Chestnut-tailed Starling,NA,CTST
Clamator coromandus,Chestnut-winged Cuckoo,NA,CWCU
Ptyonoprogne concolor,Dusky Crag-Martin,NA,DCMA
Dumetia atriceps,Dark-fronted Babbler,DFB,DFBA
Eurystomus orientalis,Dollarbird,NA,DOLL
Ptyonoprogne rupestris,Eurasian Crag-Martin,NA,ECMA
Neophron percnopterus,Egyptian Vulture,NA,EGVU
Curruca crassirostris,Eastern Orphean Warbler,NA,EOWA
Upupa epops,Eurasian Hoopoe,EH,EUHO
Falco tinnunculus,Eurasian Kestrel,NA,EUKE
Accipiter nisus,Eurasian Sparrowhawk,NA,EUSP
