scientific_name,common_name,species_code,eBird_codes,Habitat.type,Habitat.Specialization.SoIB2022,VKL.Habitat.Classification,Wet.Paddy.fields,Open.Areas,Groves.Gardens.and.Plantations,Habitation,Dry.Grassland,Hill.Grassland,Wet.Grassland,High.Altitude.Grassland,Reeds,Dry.Deciduous,Hill.Shrubland,Thorny.Scrub,Rocky.Scrub,Tropical.Rainforest,Bamboo.Forest,Shola.Forest,Moist.Deciduous,Subtropical.Montane.Forest,Mixed.Forest,Oak.Forest,Coniferous.Forest,Forest.Swamp,Short.Grass.Marshes,High.Shrubbery,High.Alpine,Inland.Water,Inland.Mudflats,Coastal.Mudflats,Beaches,Pelagic.Waters,Hot.Desert,Semi.Desert,Cold.Desert,Mangrove.Swamps,Salt.Pans,Lagoons,Rivers,High.Altitude.Lakes,Brackish.Backwaters,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Mass,Trophic.Level,Trophic.Niche,Primary.Lifestyle
Muscicapa dauurica,Asian Brown Flycatcher,ABF,ABF,Forest,Wooded Habitat,Forest,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8,7.8,4.7,3.5,14.4,70.5,20.5,50,29.1,49.5,9.8,Carnivore,Invertivore,Insessorial
Chalcophaps indica,Asian Emerald Dove,AED,AEDO,Forest,Forest,Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.9,11.3,3.1,4.2,25.8,143.9,40,100.1,28.7,83.9,136.5,Herbivore,Omnivore,Generalist
Irena puella,Asian Fairy-bluebird,AFB,AFBL,Forest,Tropical Forest,Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.3,17.5,7.9,9.1,17.8,125.4,31.5,92.9,25.3,91.8,64.9,Herbivore,Frugivore,Insessorial
Apus melba,Alpine Swift,APS,ALSW,Forest,Forest,Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.7,5.8,4.5,3.2,15.4,219.3,159,60.4,72.5,86.2,100.4,Carnivore,Invertivore,Aerial
Dicrurus leucophaeus,Ashy Drongo,AD,ASDR,Forest,Wooded Habitat,Forest,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.4,16.7,9.3,8.4,18.6,134.8,42.4,91.8,31.5,134.7,37.6,Carnivore,Invertivore,Insessorial
Eudynamys scolopaceus,Asian Koel,AK,ASKO,Generalist,None,Generalist,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.1,20.4,10.3,10.6,31,196.4,62.4,136.4,31.4,179.7,194.9,Herbivore,Frugivore,Insessorial
Prinia socialis,Ashy Prinia,AP,ASPR,Generalist,None,Generalist,NA,1,NA,1,1,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,13.1,7.4,2.2,2.4,19.6,49.6,5.1,44.2,10.3,63,8,Carnivore,Invertivore,Insessorial
Artamus fuscus,Ashy Woodswallow,NA,ASWO,Generalist,None,Generalist,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.9,13.4,7.4,7.9,17.4,131.9,63.9,68.2,48.4,54.9,39.8,Carnivore,Invertivore,Aerial
Ficedula nigrorufa,Black-and-orange Flycatcher,BAOF,BAOF,Forest,Wooded Habitat,Forest,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6,6.7,3.8,3.1,18,59.1,9.1,50,15.4,48,9.4,Carnivore,Invertivore,Generalist
Hirundo rustica,Barn Swallow,NA,BASW,Generalist,None,Generalist,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,12.4,6,4.5,2.7,11.7,115.8,62.3,56,52.6,70.4,17.9,Carnivore,Invertivore,Aerial
Nyctyornis athertoni,Blue-bearded Bee-eater,BBBE,BBBE,Forest,Forest,Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.3,35.4,9,10.7,18.4,135,34,101,25.2,132.7,84.2,Carnivore,Invertivore,Insessorial
Cacomantis sonneratii,Banded Bay Cuckoo,NA,BBCU,Forest,Wooded Habitat,Forest,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.7,15.2,6.4,5.4,15.3,107.4,34.5,69.3,33.3,95.8,33.8,Carnivore,Invertivore,Insessorial
Hirundapus giganteus,Brown-backed Needletail,NA,BBNE,Forest,Tropical Forest,Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1,7,5.6,4.1,17.8,203.1,130.4,73.1,64.1,61.7,127,Carnivore,Invertivore,Aerial
Alcippe poioicephala,Brown-cheeked Fulvetta,BCF,BCFU,Forest,Tropical Forest,Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.7,8.2,3.6,4.2,21.2,69.5,7.5,61.6,10.9,65.5,20.7,Carnivore,Invertivore,Insessorial
Yungipicus nanus,Brown-capped Pygmy Woodpecker,NA,BCPW,Forest,Wooded Habitat,Forest,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8,10.5,4.1,4.4,13.5,76.4,21.1,55.9,27.4,36,16.2,Carnivore,Invertivore,Insessorial
Monticola cinclorhyncha,Blue-capped Rock-Thrush,NA,BCRT,Grassland,None,Grassland,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5,12.8,4.6,5.3,23.3,99.5,27,72.2,27.1,67.2,36,Carnivore,Invertivore,Insessorial
Accipiter virgatus,Besra,NA,BESR,Forest,Forest,Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.2,11.7,7.6,10.2,49.8,167.7,46.7,123.1,27.4,123.9,117,Carnivore,Vertivore,Generalist
Phaenicophaeus viridirostris,Blue-faced Malkoha,BFM,BFMA,Forest,None,Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.5,22.2,11.1,11.8,34.4,136,21,115,15.4,225.6,67,Carnivore,Invertivore,Insessorial
Ketupa zeylonensis,Brown Fish-Owl,BFO,BFOW,Forest,None,Forest,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,49.7,30.5,16.9,23.8,71.2,381.1,108.2,273.4,28.3,187.5,1105,Carnivore,Aquatic predator,Insessorial
Lalage melanoptera,Black-headed Cuckooshrike,NA,BHCU,Forest,Wooded Habitat,Forest,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.3,10.8,5.7,5.1,20.8,100.2,27.1,73.1,27,72.5,29.4,Carnivore,Invertivore,Insessorial
Oriolus xanthornus,Black-hooded Oriole,NA,BHOR,Forest,Wooded Habitat,Forest,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.6,19.8,8,7.8,24.3,133.6,36.4,96.6,27.4,82.6,56.3,Herbivore,Frugivore,Insessorial
Aviceda leuphotes,Black Baza,NA,BLBA,Forest,Tropical Forest,Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.6,16.4,10.2,12.5,25,230.6,82,150.2,35.3,124,194,Carnivore,Invertivore,Insessorial
Dicrurus macrocercus,Black Drongo,BLD,BLDR,Grassland,Grassland and Scrub,Generalist,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.4,15.4,8.4,8.4,22.2,141,39.2,101.2,27.8,145.6,48.3,Carnivore,Invertivore,Insessorial
