x,y,month,year,season,ppt,t_mean,t_sd
75.75,11.75,1,1870,dry,0,24.926048387096774,0.56096820104231
75.75,11.75,1,1871,dry,50.6,24.857467741935483,0.36310563053295
75.75,11.75,1,1872,dry,0,24.493983870967742,0.5497156156273131
75.75,11.75,1,1873,dry,0,24.800951612903226,0.5989549142024897
75.75,11.75,1,1874,dry,0,25.063354838709678,0.5339065803669584
75.75,11.75,1,1875,dry,0,25.050032258064515,0.7082518612222145
75.75,11.75,1,1876,dry,0,25.60508064516129,0.3934481561945653
75.75,11.75,1,1877,dry,0,26.01,0.6764207270626768
75.75,11.75,1,1878,dry,0,26.43998387096774,0.3665341158262297
75.75,11.75,1,1879,dry,2.920009,25.555338709677418,0.5654577553790203
75.75,11.75,1,1880,dry,3.199953,24.96991935483871,0.8830636735892284
75.75,11.75,1,1881,dry,2.81,25.359983870967742,0.6432215207307531
75.75,11.75,1,1882,dry,28.02991,25.78991935483871,0.739266382940708
75.75,11.75,1,1883,dry,0,25.22,1.1798813499670209
75.75,11.75,1,1884,dry,0,24.090225806451613,0.9267627783374927
75.75,11.75,1,1885,dry,0,25.26508064516129,0.42676080530695015
75.75,11.75,1,1886,dry,0,24.99456451612903,0.8920712578220747
75.75,11.75,1,1887,dry,0,25.08983870967742,0.4059792356573751
75.75,11.75,1,1888,dry,0,24.96033870967742,0.8178829214002942
75.75,11.75,1,1889,dry,3.3499628,25.67517741935484,0.5846194424350923
75.75,11.75,1,1890,dry,2.3599631,24.81474193548387,1.0852909277467784
75.75,11.75,1,1891,dry,0,25.104854838709677,0.7209828268129135
75.75,11.75,1,1892,dry,0,25.62532258064516,0.5916459181580808
75.75,11.75,1,1893,dry,0,25.034887096774195,0.858849411612977
75.75,11.75,1,1894,dry,0.47,25.37017741935484,0.6232106859961443
75.75,11.75,1,1895,dry,1.89,25.490322580645163,0.5389000146654773
75.75,11.75,1,1896,dry,19.0503,25.17983870967742,0.4627679113604854
75.75,11.75,1,1897,dry,0,26.18983870967742,0.6861699059161267
75.75,11.75,1,1898,dry,0,25.46475806451613,0.47972012449913143
75.75,11.75,1,1899,dry,0,24.964935483870967,0.7555038908121239
75.75,11.75,1,1900,dry,7.03,25.840064516129033,0.985249272535767
75.75,11.75,1,1901,dry,15.02,26.359887096774195,0.401527058234714
75.75,11.75,1,1902,dry,7.2,26.000032258064515,0.6709650007698353
75.75,11.75,1,1903,dry,4.11,26.16509677419355,1.0344521691806634
75.75,11.75,1,1904,dry,2.9099999999999997,25.42967741935484,0.32873225043052645
75.75,11.75,1,1905,dry,7.76,25.03516129032258,0.7670837458311048
75.75,11.75,1,1906,dry,26.78,25.774693548387095,0.760279659921481
75.75,11.75,1,1907,dry,2.66,25.594725806451613,0.6818889797064926
75.75,11.75,1,1908,dry,0.08,25.40006451612903,0.8871355377649975
75.75,11.75,1,1909,dry,52.5,25.639935483870968,0.5976672393834702
75.75,11.75,1,1910,dry,0.07,25.39,0.4912789431677286
75.75,11.75,1,1911,dry,0.04,24.845,0.9183109495154673
75.75,11.75,1,1912,dry,4.63,25.000274193548385,0.8201976879459169
75.75,11.75,1,1913,dry,0,24.590016129032257,0.6782616933980449
75.75,11.75,1,1914,dry,0,25.265112903225805,0.7850439341174629
75.75,11.75,1,1915,dry,2.98,25.669887096774193,0.7167151771528848
75.75,11.75,1,1916,dry,0,25.220112903225807,0.5834457802526501
75.75,11.75,1,1917,dry,3.57,24.93485483870968,0.5787828348288097
75.75,11.75,1,1918,dry,7.01,25.109870967741934,0.7539094880216276
75.75,11.75,1,1919,dry,7.91,26.05,0.7809374708216615
75.75,11.75,1,1920,dry,26.57,25.779870967741935,1.1623200288484943
75.75,11.75,1,1921,dry,27.01,25.729822580645163,0.7247274608244939
75.75,11.75,1,1922,dry,25.28,25.609806451612904,0.7227506448448563
75.75,11.75,1,1923,dry,10.47,25.384967741935483,1.0076403288168176
75.75,11.75,1,1924,dry,8.62,25.645032258064514,0.7913442354151138
75.75,11.75,1,1925,dry,0.2,24.804967741935485,0.6494246419650233
75.75,11.75,1,1926,dry,17.09,25.820193548387095,0.8525912431857303
75.75,11.75,1,1927,dry,0.45,25.760112903225806,0.45679934890637724
75.75,11.75,1,1928,dry,8.54,26.050064516129034,0.6893821840597016
75.75,11.75,1,1929,dry,2.57,25.709806451612902,0.7323832065867726
75.75,11.75,1,1930,dry,3.3200000000000003,25.925112903225806,0.7500593166507727
75.75,11.75,1,1931,dry,0.05,26.29016129032258,0.5074125275535474
75.75,11.75,1,1932,dry,0,25.265096774193548,0.8169565208683064
75.75,11.75,1,1933,dry,0,25.719790322580646,1.0178948601091167
75.75,11.75,1,1934,dry,13.299999999999999,25.75024193548387,0.504699314294623
75.75,11.75,1,1935,dry,23.64,25.679967741935485,0.8207683588715708
75.75,11.75,1,1936,dry,0.35,25.929822580645162,0.5902893859284489
75.75,11.75,1,1937,dry,0.25,25.879806451612904,0.7856760324440285
75.75,11.75,1,1938,dry,0,26.15006451612903,0.597432949402908
75.75,11.75,1,1939,dry,2.6100000000000003,25.59458064516129,1.109840732543595
75.75,11.75,1,1940,dry,0.45999999999999996,24.935290322580645,0.8540491474362344
75.75,11.75,1,1941,dry,0.51,26.089564516129034,0.6408258700293901
75.75,11.75,1,1942,dry,0,25.749887096774195,0.8289304223885681
75.75,11.75,1,1943,dry,56.12,26.375096774193548,0.4398878156105039
75.75,11.75,1,1944,dry,0.94,25.91008064516129,1.1485917979332654
75.75,11.75,1,1945,dry,0,25.434887096774194,0.9229999883502836
75.75,11.75,1,1946,dry,0.23,24.935048387096774,0.6925089572806828
75.75,11.75,1,1947,dry,14.63,26.34490322580645,0.6736415641787902
75.75,11.75,1,1948,dry,19.740000000000002,26.31009677419355,0.570616295762089
75.75,11.75,1,1949,dry,0.87,25.68498387096774,0.6549979069161336
75.75,11.75,1,1950,dry,0,25.52540322580645,0.8307434162579408
75.75,11.75,1,1951,dry,0.19,25.885467741935482,0.45653115876655237
75.75,11.75,1,1952,dry,0.65,26.284903225806453,0.5738536024015591
75.75,11.75,1,1953,dry,4.48,26.090096774193547,0.6503803684428935
75.75,11.75,1,1954,dry,8.98,26.18967741935484,0.4718243590643153
75.75,11.75,1,1955,dry,0.9,26.48032258064516,1.022619133633396
75.75,11.75,1,1956,dry,2.2199999999999998,25.3051935483871,0.8760870359865255
75.75,11.75,1,1957,dry,0.05,25.68540322580645,0.8223145932808076
75.75,11.75,1,1958,dry,1.55,26.76491935483871,1.0517524035054873
75.75,11.75,1,1959,dry,0,26.359693548387096,0.9756349187189107
75.75,11.75,1,1960,dry,2.14,26.034983870967743,0.6462241030771366
75.75,11.75,1,1961,dry,0.51,26.22964516129032,0.5228268386624837
75.75,11.75,1,1962,dry,4.24,25.424709677419354,1.122405874109967
75.75,11.75,1,1963,dry,18.169999999999998,25.79990322580645,0.40862528514020563
75.75,11.75,1,1964,dry,0.02,27.07016129032258,0.8024986852231882
75.75,11.75,1,1965,dry,2.73,26.32482258064516,0.513392207907156
75.75,11.75,1,1966,dry,4.2299999999999995,25.435435483870968,0.6340592472571138
75.75,11.75,1,1967,dry,9.35,25.900193548387097,0.7046016566994829
75.75,11.75,1,1968,dry,0,24.82535483870968,0.8485200271997947
75.75,11.75,1,1969,dry,0.12,26.655129032258063,1.0076165852126984
75.75,11.75,1,1970,dry,2.14,26.254887096774194,1.1481683871110937
75.75,11.75,1,1971,dry,0.9900000000000001,26.049935483870968,0.8198939742626838
75.75,11.75,1,1972,dry,0,25.980096774193548,1.366253255069955
75.75,11.75,1,1973,dry,0,26.049693548387097,0.8824559448627772
75.75,11.75,1,1974,dry,0,25.279774193548388,0.8348608151333741
75.75,11.75,1,1975,dry,5.8,25.41974193548387,0.8937018879448163
75.75,11.75,1,1976,dry,0,24.78993548387097,0.9090596583093936
75.75,11.75,1,1977,dry,0,25.955,1.1828623475845925
75.75,11.75,1,1978,dry,0.62,25.914967741935484,1.0920770877513173
75.75,11.75,1,1979,dry,1.85,26.80017741935484,0.9740678753590285
75.75,11.75,1,1980,dry,0,25.98017741935484,0.7530780564720936
75.75,11.75,1,1981,dry,2.23,26.00498387096774,0.5852483160145351
75.75,11.75,1,1982,dry,0,25.954838709677418,0.8118502364670549
75.75,11.75,1,1983,dry,0,25.97975806451613,0.7564234249740437
75.75,11.75,1,1984,dry,25.83,26.580435483870968,0.5369135209996648
75.75,11.75,1,1985,dry,8.1,26.555016129032257,0.43747638953188045
75.75,11.75,1,1986,dry,17.68,25.894951612903228,0.6320735631612131
75.75,11.75,1,1987,dry,0.25,26.494951612903225,0.7574938872672913
75.75,11.75,1,1988,dry,0.14,25.94966129032258,0.6300403212903223
75.75,11.75,1,1989,dry,0,25.88474193548387,0.9791483022757392
75.75,11.75,1,1990,dry,2.33,25.85451612903226,0.7177445632427436
75.75,11.75,1,1991,dry,0.22,26.640290322580643,0.747219253568339
75.75,11.75,1,1992,dry,0,25.25482258064516,0.9212481890383563
75.75,11.75,1,1993,dry,0,25.530241935483872,1.068349068040402
75.75,11.75,1,1994,dry,22.810000000000002,26.239758064516128,0.6032810825114021
75.75,11.75,1,1995,dry,1.38,26.109725806451614,0.8766732082016048
75.75,11.75,1,1996,dry,0.11,26.52508064516129,0.8560012373119387
75.75,11.75,1,1997,dry,3.6999999999999997,26.15025806451613,0.9713871856865982
75.75,11.75,1,1998,dry,0.38,27.35483870967742,1.0853643657553957
75.75,11.75,1,1999,dry,0,25.964887096774195,0.8776439930260012
75.75,11.75,1,2000,dry,15.45,26.79514516129032,0.88799562868245
75.75,11.75,1,2001,dry,0.62,26.744790322580645,0.706300181393548
75.75,11.75,1,2002,dry,6.4,26.604951612903225,1.1761052911682608
75.75,11.75,1,2003,dry,0.38,26.865241935483873,1.018630484776559
75.75,11.75,1,2004,dry,0.13,26.459774193548387,1.3297597203925584
75.75,11.75,1,2005,dry,12.47,26.874983870967743,1.059270468167211
75.75,11.75,1,2006,dry,0.19999999999999998,26.5,0.9910364944508019
75.75,11.75,1,2007,dry,0.03,26.64017741935484,1.0300064202743844
75.75,11.75,1,2008,dry,0.1,26.35524193548387,1.1258099593253423
75.75,11.75,1,2009,dry,0.01,26.309645161290323,1.309591375159623
75.75,11.75,1,2010,dry,12.61,26.849806451612903,0.7186353929197952
75.75,11.75,1,2011,dry,0.03,26.390306451612904,0.7093930466417444
75.75,11.75,1,2012,dry,0,26.519951612903224,1.24070624615471
75.75,11.75,1,2013,dry,0.03,27.139854838709677,1.0001064459475335
75.75,11.75,1,2014,dry,0.09,26.945145161290323,0.4930242420265017
75.75,11.75,1,2015,dry,1.2100036,26.665112903225804,0.6880932435563925
75.75,11.75,1,2016,dry,2.53,27.079645161290323,0.9006698821206022
75.75,11.75,1,2017,dry,16.47,23.581612903225807,0.743945996132307
75.75,11.75,1,2018,dry,0.03,23.383064516129032,0.6476993610970996
75.75,11.75,2,1870,dry,0,27.396392857142857,0.8983184430547306
75.75,11.75,2,1871,dry,0,26.885392857142858,0.793690458334226
75.75,11.75,2,1872,dry,3.68,26.76751724137931,0.7706135598474039
75.75,11.75,2,1873,dry,44.679648,26.48857142857143,0.7100761006984174
75.75,11.75,2,1874,dry,0,26.608357142857145,0.8568319431697087
75.75,11.75,2,1875,dry,0,26.819785714285715,0.34720101522539476
75.75,11.75,2,1876,dry,0,26.820206896551724,0.8098794610183111
75.75,11.75,2,1877,dry,4.649989,27.955142857142857,0.4801898323916027
75.75,11.75,2,1878,dry,0,28.559892857142856,0.6375271287930343
75.75,11.75,2,1879,dry,6.5,27.110142857142858,1.0935022130508425
75.75,11.75,2,1880,dry,0.48000139999999997,26.819931034482757,1.2520736494493123
