modern_site_code,historical_site_code,longitude,latitude,ID,t_mean_dry_2010,t_mean_rainy_2010,chelsa_ppt_dry_12_5,correction_layer_ppt_wet,ppt_dry_2010,ppt_rainy_2010
AVLC1,AVLC,76.603,11.302,1,1.0679340362548828,1.2154496510823567,-153.66666666666666,-0.4435076912244161,-5.969146728515625,23.34747568766276
AVLC2,AVLC,76.592,11.299,2,1.0762102603912354,1.218747615814209,-162.5,-0.42715728282928467,-6.084831237792969,24.212764739990234
BGOT1,BGOT,76.714,11.42,3,1.1432005564371746,1.2526683807373047,-142.27777862548828,-0.8254924615224203,-9.123517354329428,31.400924682617188
BVLR1,BVLR,76.835,11.351,4,1.0688104629516602,1.2896015644073486,-75.87499713897705,-0.8379174023866653,-6.046587944030762,17.900794982910156
BVLR2,BVLR,76.84,11.343,5,0.8980321884155273,1.2176599502563477,-66.70833206176758,-0.6525186002254486,-4.793597221374512,-4.034111022949219
CNRG1,CNRG,76.805,11.345,6,1.0099010467529297,1.2115332285563152,-85.49999872843425,-0.8382584452629089,-6.291005452473958,17.43854014078776
CNRG2,CNRG,76.79,11.339,7,1.0058727264404297,1.2115049362182617,-82.45833206176758,-0.7660278379917145,-5.901534080505371,16.3132266998291
DDBT1,DDBT,76.73558,11.4015,8,1.1806507110595703,1.2610375881195068,-135.25,-0.9630450308322906,-9.294883728027344,38.21689987182617
EMVL1,EMVL,76.58027,11.35123,9,1.1170554161071777,1.2339203357696533,-179.45833587646484,-0.47171245515346527,-7.384700775146484,27.905315399169922
EMVL2,EMVL,76.594,11.348,10,1.110565185546875,1.2432341575622559,-159.91666889190674,-0.4408595710992813,-6.728731155395508,25.484766006469727
FHEK1,FHEK,76.914,11.459,11,1.0254578590393066,1.197660207748413,-90.41666412353516,-1.1101824939250946,-9.359102249145508,21.380605697631836
GDLR1,GDLR,76.51434,11.4872,12,0.8169856071472168,1.0952887535095215,-274.4583330154419,0.18686488270759583,-9.142236709594727,-15.480880737304688
GDLR2,GDLR,76.52622,11.49314,13,0.8155679702758789,1.0758261680603027,-270.2916736602783,0.12225320935249329,-9.49365234375,-12.185916900634766
GVSL1,GVSL,76.64279,11.39221,14,1.1443908214569092,1.260725736618042,-138.54166316986084,-0.5700146108865738,-7.3048601150512695,29.33606719970703
HTHP1,HTHP,76.817,11.35,15,1.0495758056640625,1.2349720001220703,-91.25,-0.9217210412025452,-6.894231796264648,21.479076385498047
KDND1,KDND,76.7,11.4667,16,1.0478382110595703,1.2151060104370117,-122.99999809265137,-0.6010130643844604,-8.100969314575195,16.996294021606445
KJPN1,KJPN,76.932,11.359,17,0.8153910636901855,1.154703140258789,-60.20833206176758,-0.7424520999193192,-4.797670364379883,-10.021236419677734
KJPN2,KJPN,76.921,11.358,18,0.8049399058024088,1.138851801554362,-64.22222264607747,-0.759624977906545,-4.983137766520183,-10.064798990885416
KKTG1,KKTG,76.936,11.452,19,1.0109322865804036,1.210672378540039,-71,-1.0061811208724976,-7.994799296061198,17.64600372314453
KLHT1,KLHT,76.68286,11.460672,20,1.0701305866241455,1.2240121364593506,-124.33333587646484,-0.5864416807889938,-7.911182403564453,19.734018325805664
KMFD1,KMFD,76.896385,11.469283,21,1.049440860748291,1.2295877933502197,-92.00000381469727,-0.9884738177061081,-8.979557037353516,20.4232234954834
KMFD2,KMFD,76.91277,11.4477,22,1.039055347442627,1.2235918045043945,-80.99999809265137,-1.028507947921753,-8.436600685119629,20.488916397094727
KNSL1,KNSL,76.906,11.451,23,1.0349879264831543,1.2221417427062988,-80.12500095367432,-0.99828140437603,-8.295624732971191,19.762439727783203
KUKL1,KUKL,76.863,11.433,24,1.0623478889465332,1.2327475547790527,-81.95833015441895,-0.9638841897249222,-8.000194549560547,22.69846534729004
KULR1,KULR,76.859,11.354,25,0.8585453033447266,1.1628870964050293,-63.08333396911621,-0.6690046191215515,-4.876752853393555,-3.562213897705078
KULR2,KULR,76.868,11.345,26,0.8704973856608073,1.2232672373453777,-58.00000254313151,-0.6098979711532593,-3.865380605061849,-14.86553955078125
LDNH2,LVDL,76.6962,11.36707,27,1.1109399795532227,1.2308390935262044,-138.61111450195313,-0.7908897399902344,-8.0873260498046875,29.608250935872395
LWSL1,LWSL,76.873,11.439,28,1.0677080154418945,1.2346434593200684,-86.37499809265137,-0.989850789308548,-8.385066986083984,23.38146209716797
NDVT1,NDVT,76.549,11.488,29,0.8811651865641276,1.108857790629069,-251.88888931274414,-0.0333247184753418,-9.616404215494791,-3.6989034016927085
NDVT2,NDVT,76.548,11.478,30,1.0204931894938152,1.1967557271321614,-254.8333307902018,-0.17520026365915933,-10.003949483235678,10.28326416015625
OTCM1,OTCM,76.696,11.412,31,1.1294105529785157,1.245380973815918,-142.69999771118165,-0.7150674700737,-8.458992004394531,29.536187744140626
OTCM2,OTCM,76.708,11.399,32,1.1390290260314941,1.2507622241973877,-139.9583330154419,-0.7557043433189392,-8.372467041015625,31.253841400146484
OTCM3,OTCM,76.70851,11.38741,33,1.137497901916504,1.2533974647521973,-132.8333282470703,-0.7618520855903625,-8.029304504394531,30.9593505859375
RNMD1,RNMD,76.796,11.332,34,0.9872293472290039,1.215132236480713,-84.20833206176758,-0.7397069036960602,-5.686178207397461,12.896011352539063
RNMD2,RNMD,76.783,11.328,35,1.0062589645385742,1.212575912475586,-95.20833396911621,-0.7879752367734909,-6.115666389465332,16.5655517578125
SMPK2,SMPK,76.799,11.356,36,1.042283058166504,1.2273612022399902,-89.70833587646484,-0.8471072167158127,-6.682720184326172,20.43083381652832
TMTE1,TMTE,76.705255,11.281124,37,0.9640795389811198,1.1776898701985676,-117.5,-0.5717568198839823,-5.316805521647136,12.943364461263021
TSTE1,TSTE,76.61246,11.21223,38,1.072878074645996,1.2242315292358399,-147.99999923706054,-0.4455850005149841,-4.66436996459961,26.136637878417968
WLTN1,WLTN,76.789,11.365,39,1.0390563011169434,1.2215523719787598,-86.83333396911621,-0.794578954577446,-6.491026878356934,20.128101348876953
