"scientific_name","Di","ID","1850-1900","2021","relAbunChange","Y1850","Y2021","Det/NonDet"
"Perdicula erythrorhyncha",0.10908473888641,1,0.0686872497396917,0.00207708192639782,0.0666101678132939,1,1,"Shared"
"Eumyias albicaudatus",0.110447135409987,2,0.0432160531164547,0.0203483291000635,0.0228677240163912,1,1,"Shared"
"Machlolophus aplonotus",0.113167165196579,3,0.024147486965906,0.00166703022547121,0.0224804567404348,1,1,"Shared"
"Sholicola major",0.114029814666288,4,0.0178898688270442,0.0132868872731964,0.0046029815538478,1,1,"Shared"
"Anthus nilghiriensis",0.115070274276747,5,0.0393737533184167,0.00538139667017323,0.0339923566482435,1,1,"Shared"
"Larvivora brunnea",0.116736508387072,6,0,0.0153710949815253,-0.0153710949815253,1,1,"Shared"
"Iole indica",0.117556116156516,7,0.0152241755358772,0.0253147125326634,-0.0100905369967862,1,1,"Shared"
"Aegithina tiphia",0.122340586104415,8,0,0.00622068409192105,-0.00622068409192105,1,1,"Shared"
"Pellorneum ruficeps",0.122556031372471,9,0,0.0161620591736503,-0.0161620591736503,1,1,"Shared"
"Sitta frontalis",0.124973065506115,10,0.0228792325092326,0.036513242932372,-0.0136340104231394,1,1,"Shared"
"Galerida malabarica",0.126169667373603,11,0.0203371516391024,0.00207904768672703,0.0182581039523754,1,1,"Shared"
"Chloropsis aurifrons",0.126912271202829,12,0,0.00125414322582776,-0.00125414322582776,1,1,"Shared"
"Ficedula nigrorufa",0.127972040001433,13,0.0431904606431496,0.0282722435560299,0.0149182170871197,1,1,"Shared"
"Acrocephalus dumetorum",0.128027683136375,14,0.0165304760952955,0.0373582021166895,-0.020827726021394,1,1,"Shared"
"Saxicola caprata",0.12921368616034,15,0.0329872689821389,0.0132671923086492,0.0197200766734897,1,1,"Shared"
"Pycnonotus jocosus",0.14466929857549,16,0.0304601832341639,0.174265081303136,-0.143804898068972,1,1,"Shared"
"Montecincla cachinnans",0.146228681105875,17,0.0635580707298616,0.0505621741602867,0.0129958965695749,1,1,"Shared"
"Phylloscopus affinis",0.152372935397436,18,0.02026791938065,0.00414337300459697,0.016124546376053,1,1,"Shared"
"Zosterops palpebrosus",0.161595383959861,19,0.0291486683400926,0.115326546465286,-0.0861778781251934,1,1,"Shared"
"Prinia socialis",0.165082212202153,20,0,0.0211221223649102,-0.0211221223649102,1,1,"Shared"
"Dicaeum concolor",0.174524698477771,21,0.0584588032288477,0.0617563709759328,-0.0032975677470851,1,1,"Shared"
"Amandava amandava",0.175439796317725,22,0.0291834502197038,0,0.0291834502197038,1,0,"Naive Extinctions"
"Hypsipetes ganeesa",0.176125264575329,23,0,0.0485303978481151,-0.0485303978481151,1,1,"Shared"
"Lanius schach",0.185577580003488,24,0.0330976235690561,0.00290441251078749,0.0301932110582686,1,1,"Shared"
"Turdus simillimus",0.201209428106396,25,0.0508285504062588,0.0389806620115204,0.0118478883947384,1,1,"Shared"
"Irena puella",0.215192878610041,26,0,0.00497771895169158,-0.00497771895169158,1,1,"Shared"
"Zoothera neilgherriensis",0.216120069360436,27,0,0.00207505132475696,-0.00207505132475696,1,1,"Shared"
"Dicrurus aeneus",0.222895735386631,28,0,0.00164833240319764,-0.00164833240319764,1,1,"Shared"
"Chalcophaps indica",0.225306335764352,29,0,0.00206913021307102,-0.00206913021307102,1,1,"Shared"
"Pericrocotus flammeus",0.231810990366104,30,0.0304598529343626,0.00622716606396964,0.024232686870393,1,1,"Shared"
"Psilopogon viridis",0.232101910132717,31,0.0266216492400002,0.0563576233126407,-0.0297359740726405,1,1,"Shared"
"Acridotheres fuscus",0.235934196068539,32,0.0292256492857932,0.02407195398045,0.0051536953053432,1,1,"Shared"
"Galloperdix spadicea",0.248071374433163,33,0.0623349742546959,0.00498035097830341,0.0573546232763925,1,1,"Shared"
"Pomatorhinus horsfieldii",0.254293745951773,34,0.0469154444300632,0.043121317989273,0.0037941264407902,1,1,"Shared"
"Dicrurus paradiseus",0.274738504974618,35,0,0.000824306278945337,-0.000824306278945337,1,1,"Shared"
"Alcippe poioicephala",0.277232191302152,36,0.0152248765029725,0.0157402967287995,-0.000515420225827,1,1,"Shared"
"Myophonus horsfieldii",0.277872088066558,37,0.0240508199263301,0.00787534314206907,0.016175476784261,1,1,"Shared"
"Columba elphinstonii",0.279153977330902,38,0.0190417297614067,0.0182374380667605,0.000804291694646197,1,1,"Shared"
"Dumetia atriceps",0.309878112887585,39,0,0.000825696944180537,-0.000825696944180537,1,1,"Shared"
"Hemipus picatus",0.311758084064405,40,0.0140073995138401,0.0149001650024421,-0.000892765488602001,1,1,"Shared"
"Chrysocolaptes guttacristatus",0.376388701835715,41,0.0191225362435017,0.00290532621414472,0.016217210029357,1,1,"Shared"
"Psittacula columboides",0.40699633889084,42,0.0140424595806409,0.00827416432017822,0.00576829526046268,1,1,"Shared"
"Gallus sonneratii",0.413484284712172,43,0.0394861618454491,0.0427241296391972,-0.0032379677937481,1,1,"Shared"
