"catalogNumber","institutionCode","scientific_name","individualCount","year","month","day","locality","historical_site_code","decimalLatitude","decimalLongitude","collectedBy","coordinateUncertaintyInMeters","notes","common_name","species_code","order"
"310095","FMNH","Acridotheres fuscus","",1881,2,26,"Ootacamund","OTCM",NA,NA,"","","","Jungle Myna","JUMY","Passeriformes"
"34762","MCZ","Acridotheres fuscus","",1867,3,20,"Ootacamund","OTCM",11.411821,76.702328,"","3036","","Jungle Myna","JUMY","Passeriformes"
"87.7.1.368","NHM Tring","Acridotheres fuscus","",1873,2,6,"Coonoor","CNRG",NA,NA,"F Day","","Hume coll.","Jungle Myna","JUMY","Passeriformes"
"88.9.20.191","NHM Tring","Acridotheres fuscus","",1896,8,22,"Coonoor","CNRG",NA,NA,"R G Wardlaw-Ramsay","","Tweedale coll.","Jungle Myna","JUMY","Passeriformes"
"87.7.1.1030","NHM Tring","Acridotheres fuscus","",1881,1,24,"Coonoor","CNRG",NA,NA,"W Davison","","Hume coll.","Jungle Myna","JUMY","Passeriformes"
"87.7.1.273","NHM Tring","Acridotheres fuscus","",1874,4,18,"Kotagiri","LWSL",NA,NA,"M Cockburn","","Hume coll.","Jungle Myna","JUMY","Passeriformes"
"88.9.20.172","NHM Tring","Acridotheres fuscus","",1876,6,25,"Ootacamund","OTCM",NA,NA,"R M Adam","","","Jungle Myna","JUMY","Passeriformes"
"87.7.1.406","NHM Tring","Acridotheres fuscus","",1876,4,15,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Jungle Myna","JUMY","Passeriformes"
"87.7.1.403","NHM Tring","Acridotheres fuscus","",1876,4,15,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Jungle Myna","JUMY","Passeriformes"
"87.7.1.1031","NHM Tring","Acridotheres fuscus","",1881,3,22,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Jungle Myna","JUMY","Passeriformes"
"87.7.1.404","NHM Tring","Acridotheres fuscus","",1876,4,15,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Jungle Myna","JUMY","Passeriformes"
"87.7.1.405","NHM Tring","Acridotheres fuscus","",1876,4,29,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Jungle Myna","JUMY","Passeriformes"
"87.7.1.369","NHM Tring","Acridotheres fuscus","",1881,1,13,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Jungle Myna","JUMY","Passeriformes"
"87.7.1.1032","NHM Tring","Acridotheres fuscus","",1881,2,1,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Jungle Myna","JUMY","Passeriformes"
"87.7.1.401","NHM Tring","Acridotheres fuscus","",1881,3,23,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Jungle Myna","JUMY","Passeriformes"
"87.7.1.399","NHM Tring","Acridotheres fuscus","",1881,2,10,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Jungle Myna","JUMY","Passeriformes"
"87.7.1.402","NHM Tring","Acridotheres fuscus","",1881,3,22,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Jungle Myna","JUMY","Passeriformes"
"87.7.1.400","NHM Tring","Acridotheres fuscus","",1881,2,10,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Jungle Myna","JUMY","Passeriformes"
"87.7.1.395","NHM Tring","Acridotheres fuscus","",1881,1,18,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Jungle Myna","JUMY","Passeriformes"
"87.7.1.309","NHM Tring","Acridotheres fuscus","",1881,2,2,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Jungle Myna","JUMY","Passeriformes"
"87.7.1.397","NHM Tring","Acridotheres fuscus","",1876,4,27,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Jungle Myna","JUMY","Passeriformes"
"87.7.1.1029","NHM Tring","Acridotheres fuscus","",1881,2,26,"Ootacamund","OTCM",NA,NA,"","","Hume coll.","Jungle Myna","JUMY","Passeriformes"
"86.7.8.1683","NHM Tring","Acrocephalus dumetorum","",1873,3,1,"Coonoor","CNRG",NA,NA,"F Day","","Hume coll.","Blyth's Reed Warbler","BRWA","Passeriformes"
"86.7.8.1687","NHM Tring","Acrocephalus dumetorum","",1869,3,15,"Coonoor","CNRG",NA,NA,"H R P Carter","","Hume coll.","Blyth's Reed Warbler","BRWA","Passeriformes"
"86.78.1662","NHM Tring","Acrocephalus dumetorum","",1881,1,25,"Coonoor","CNRG",NA,NA,"W Davison","","Hume coll.","Blyth's Reed Warbler","BRWA","Passeriformes"
"83.8.1.40","NHM Tring","Acrocephalus dumetorum","",1883,2,7,"Coonoor","CNRG",NA,NA,"W Davison","","","Blyth's Reed Warbler","BRWA","Passeriformes"
"86.7.8.1673","NHM Tring","Acrocephalus dumetorum","",1881,3,26,"Gudalur","GDLR",NA,NA,"W Davison","","Hume coll.","Blyth's Reed Warbler","BRWA","Passeriformes"
"86.7.8.1679","NHM Tring","Acrocephalus dumetorum","",1881,3,16,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Blyth's Reed Warbler","BRWA","Passeriformes"
"86.7.8.1674","NHM Tring","Acrocephalus dumetorum","",1881,2,10,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Blyth's Reed Warbler","BRWA","Passeriformes"
"82.6.8.3","NHM Tring","Acrocephalus dumetorum","",1882,1,11,"Ootacamund","OTCM",NA,NA,"W Davison","","","Blyth's Reed Warbler","BRWA","Passeriformes"
"86.7.8.1675","NHM Tring","Acrocephalus dumetorum","",1881,3,16,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Blyth's Reed Warbler","BRWA","Passeriformes"
"86.7.8.1677","NHM Tring","Acrocephalus dumetorum","",1881,3,6,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Blyth's Reed Warbler","BRWA","Passeriformes"
"86.7.8.1680","NHM Tring","Acrocephalus dumetorum","",1881,1,15,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Blyth's Reed Warbler","BRWA","Passeriformes"
"86.7.8.1678","NHM Tring","Acrocephalus dumetorum","",1881,3,16,"Ootacamund","OTCM",NA,NA,"W Davison","","Hume coll.","Blyth's Reed Warbler","BRWA","Passeriformes"
"BIB5","JournalData","Aegithina tiphia","3",1877,NA,NA,"Coonoor","CNRG",NA,NA,"","","","Common Iora","COIO","Passeriformes"
"86.9.1.192","NHM Tring","Aegithina tiphia","",1873,3,9,"Coonoor","CNRG",NA,NA,"F Day","","Hume coll.","Common Iora","COIO","Passeriformes"
"88.4.1.40","NHM Tring","Aegithina tiphia","",1878,4,NA,"Coonoor Ghat","CNRG",NA,NA,"R G Wardlaw-Ramsay","","Tweedale coll.","Common Iora","COIO","Passeriformes"
"88.4.1.41","NHM Tring","Aegithina tiphia","",1878,9,23,"Coonoor Ghat","CNRG",NA,NA,"R G Wardlaw-Ramsay","","Tweedale coll.","Common Iora","COIO","Passeriformes"
