"scientific_name","n"
"Accipiter nisus",1
"Accipiter virgatus",1
"Acridotheres fuscus",22
"Acridotheres tristis",1
"Acrocephalus dumetorum",12
"Aegithina tiphia",6
"Alauda gulgula",3
"Alcippe poioicephala",11
"Amandava amandava",22
"Anthus godlewskii",1
"Anthus nilghiriensis",30
"Anthus richardi",1
"Anthus similis",2
"Apus affinis",1
"Apus melba",3
"Aquila fasciata",1
"Argya malcolmi",2
"Argya striata",3
"Argya subrufa",9
"Aviceda leuphotes",1
"Brachypodius priocephalus",3
"Buteo buteo",1
"Cacomantis passerinus",4
"Cacomantis sonneratii",2
"Caprimulgus atripennis",1
"Carpodacus erythrinus",5
"Centropus sinensis",5
"Chalcophaps indica",5
"Chloropsis aurifrons",9
"Chrysocolaptes festivus",1
"Chrysocolaptes guttacristatus",14
"Chrysomma sinense",1
"Cinnyris asiaticus",12
"Cinnyris lotenius",1
"Circaetus gallicus",1
"Circus macrourus",1
"Clamator coromandus",1
"Clamator jacobinus",4
"Columba elphinstonii",14
"Corvus macrorhynchos",5
"Coturnix coromandelica",2
"Cuculus micropterus",1
"Culicicapa ceylonensis",6
"Cyornis pallidipes",5
"Cyornis rubeculoides",1
"Cyornis tickelliae",3
"Dicaeum agile",1
"Dicaeum concolor",45
"Dicaeum erythrorhynchos",2
"Dicrurus aeneus",7
"Dicrurus caerulescens",1
"Dicrurus paradiseus",9
"Dinopium benghalense",4
"Dryocopus javensis",1
"Dumetia atriceps",5
"Dumetia hyperythra",1
"Elanus caeruleus",2
"Eudynamys scolopaceus",2
"Eumyias albicaudatus",33
"Eumyias thalassinus",1
"Eurystomus orientalis",1
"Falco peregrinus",1
"Falco tinnunculus",1
"Ficedula nigrorufa",33
"Ficedula ruficauda",2
"Galerida malabarica",15
"Galloperdix lunulata",4
"Galloperdix spadicea",48
"Gallus sonneratii",30
"Geokichla citrina",2
"Geokichla wardii",1
"Gracula indica",5
"Halcyon smyrnensis",1
"Haliastur indus",1
"Harpactes fasciatus",6
"Hemipus picatus",10
"Hierococcyx sparverioides",2
"Hirundapus giganteus",3
"Hirundo rustica",1
"Hypothymis azurea",2
"Hypsipetes ganeesa",5
"Iduna rama",1
"Iole indica",11
"Irena puella",8
"Lalage melanoptera",1
"Lanius schach",25
"Larvivora brunnea",9
"Leptocoma minima",12
"Lonchura kelaarti",1
"Lonchura punctulata",11
"Machlolophus aplonotus",18
"Merops leschenaulti",5
"Merops philippinus",2
"Micropternus brachyurus",1
"Milvus migrans",1
"Mirafra affinis",1
"Montecincla cachinnans",49
"Monticola cinclorhyncha",1
"Motacilla alba",1
"Myophonus horsfieldii",18
"Neophron percnopterus",1
"Nyctyornis athertoni",4
"Ocyceros birostris",1
"Oriolus kundoo",2
"Oriolus xanthornus",1
"Orthotomus sutorius",1
"Parus cinereus",11
"Pavo cristatus",1
"Pellorneum ruficeps",6
"Perdicula asiatica",4
"Perdicula erythrorhyncha",53
"Pericrocotus cinnamomeus",1
"Pericrocotus flammeus",23
"Pernis ptilorhynchus",1
"Phaenicophaeus viridirostris",7
"Phylloscopus affinis",15
"Phylloscopus tytleri",2
"Picumnus innominatus",2
"Picus xanthopygaeus",7
"Pitta brachyura",1
"Pomatorhinus horsfieldii",36
"Prinia socialis",7
"Psilopogon haemacephalus",2
"Psilopogon malabaricus",4
"Psilopogon viridis",20
"Psittacula columboides",10
"Pterorhinus delesserti",2
"Ptyonoprogne concolor",1
"Ptyonoprogne rupestris",1
"Pycnonotus cafer",5
"Pycnonotus jocosus",23
"Rhipidura albogularis",1
"Sarcogyps calvus",1
"Saxicola caprata",25
"Sholicola major",13
"Sitta frontalis",17
"Spilornis cheela",1
"Streptopelia chinensis",4
"Sturnia malabarica",1
"Sturnia pagodarum",1
"Surniculus dicruroides",1
"Taccocua leschenaultii",1
"Tephrodornis sylvicola",1
"Turdus simillimus",39
"Upupa epops",7
"Zoothera neilgherriensis",8
"Zosterops palpebrosus",22
