"day","month","year","modern_site_code","historical_site_code","start_time","number","time_seg","HSF","notes","scientific_name","common_name","species_code","order","family"
22,3,2021,"AVLC1","AVLC","6:21",1,1,"H","","Ficedula nigrorufa","Black-and-orange Flycatcher","BAOF","Passeriformes","Muscicapidae (Old World Flycatchers)"
8,5,2021,"AVLC1","AVLC","7:04",1,1,"H","","Ficedula nigrorufa","Black-and-orange Flycatcher","BAOF","Passeriformes","Muscicapidae (Old World Flycatchers)"
8,5,2021,"AVLC1","AVLC","7:04",1,3,"H","","Ficedula nigrorufa","Black-and-orange Flycatcher","BAOF","Passeriformes","Muscicapidae (Old World Flycatchers)"
29,12,2020,"AVLC1","AVLC","8:16",1,3,"H","","Alcippe poioicephala","Brown-cheeked Fulvetta","BCFU","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)"
29,12,2020,"AVLC1","AVLC","8:16",1,2,"H","","Acrocephalus dumetorum","Blyth's Reed Warbler","BRWA","Passeriformes","Acrocephalidae (Reed Warblers and Allies)"
22,3,2021,"AVLC1","AVLC","6:21",1,1,"H","","Acrocephalus dumetorum","Blyth's Reed Warbler","BRWA","Passeriformes","Acrocephalidae (Reed Warblers and Allies)"
22,3,2021,"AVLC1","AVLC","6:21",1,1,"H","","Hemipus picatus","Bar-winged Flycatcher-shrike","BWFS","Passeriformes","Vangidae (Vangas, Helmetshrikes, and Allies)"
8,5,2021,"AVLC1","AVLC","7:04",1,2,"H","","Hemipus picatus","Bar-winged Flycatcher-shrike","BWFS","Passeriformes","Vangidae (Vangas, Helmetshrikes, and Allies)"
29,12,2020,"AVLC1","AVLC","8:16",1,3,"S","","Chrysocolaptes guttacristatus","Greater Flameback","GRFL","Piciformes","Picidae (Woodpeckers)"
22,3,2021,"AVLC1","AVLC","6:21",1,2,"H","","Gallus sonneratii","Gray Junglefowl","GRJU","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)"
22,3,2021,"AVLC1","AVLC","6:21",1,1,"H","","Turdus simillimus","Indian Blackbird","INBL","Passeriformes","Turdidae (Thrushes and Allies)"
22,3,2021,"AVLC1","AVLC","6:21",1,2,"H","","Turdus simillimus","Indian Blackbird","INBL","Passeriformes","Turdidae (Thrushes and Allies)"
8,5,2021,"AVLC1","AVLC","7:04",1,1,"H","","Turdus simillimus","Indian Blackbird","INBL","Passeriformes","Turdidae (Thrushes and Allies)"
22,3,2021,"AVLC1","AVLC","6:21",2,1,"H","","Pomatorhinus horsfieldii","Indian Scimitar-Babbler","ISBA","Passeriformes","Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)"
8,5,2021,"AVLC1","AVLC","7:04",1,3,"H","","Pomatorhinus horsfieldii","Indian Scimitar-Babbler","ISBA","Passeriformes","Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)"
8,5,2021,"AVLC1","AVLC","7:04",2,1,"H","","Eumyias albicaudatus","Nilgiri Flycatcher","NIFL","Passeriformes","Muscicapidae (Old World Flycatchers)"
29,12,2020,"AVLC1","AVLC","8:16",1,2,"H","","Dicaeum concolor","Nilgiri Flowerpecker","NIFP","Passeriformes","Dicaeidae (Flowerpeckers)"
22,3,2021,"AVLC1","AVLC","6:21",1,2,"H","","Dicaeum concolor","Nilgiri Flowerpecker","NIFP","Passeriformes","Dicaeidae (Flowerpeckers)"
22,3,2021,"AVLC1","AVLC","6:21",1,3,"H","","Dicaeum concolor","Nilgiri Flowerpecker","NIFP","Passeriformes","Dicaeidae (Flowerpeckers)"
8,5,2021,"AVLC1","AVLC","7:04",2,2,"H","","Dicaeum concolor","Nilgiri Flowerpecker","NIFP","Passeriformes","Dicaeidae (Flowerpeckers)"
22,3,2021,"AVLC1","AVLC","6:21",1,1,"H","","Montecincla cachinnans","Nilgiri Laughingthrush","NILA","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)"
22,3,2021,"AVLC1","AVLC","6:21",1,2,"H","","Montecincla cachinnans","Nilgiri Laughingthrush","NILA","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)"
8,5,2021,"AVLC1","AVLC","7:04",2,1,"H","","Montecincla cachinnans","Nilgiri Laughingthrush","NILA","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)"
8,5,2021,"AVLC1","AVLC","7:04",2,3,"H","","Montecincla cachinnans","Nilgiri Laughingthrush","NILA","Passeriformes","Leiothrichidae (Laughingthrushes and Allies)"
8,5,2021,"AVLC1","AVLC","7:04",1,2,"H","","Sholicola major","Nilgiri Sholakili","NISH","Passeriformes","Muscicapidae (Old World Flycatchers)"
29,12,2020,"AVLC1","AVLC","8:16",2,1,"H","","Zosterops palpebrosus","Indian White Eye","IWEY","Passeriformes","Zosteropidae"
29,12,2020,"AVLC1","AVLC","8:16",6,2,"S","","Zosterops palpebrosus","Indian White Eye","IWEY","Passeriformes","Zosteropidae"
22,3,2021,"AVLC1","AVLC","6:21",4,1,"H","","Zosterops palpebrosus","Indian White Eye","IWEY","Passeriformes","Zosteropidae"
8,5,2021,"AVLC1","AVLC","7:04",3,1,"H","","Zosterops palpebrosus","Indian White Eye","IWEY","Passeriformes","Zosteropidae"
8,5,2021,"AVLC1","AVLC","7:04",2,2,"H/S","","Zosterops palpebrosus","Indian White Eye","IWEY","Passeriformes","Zosteropidae"
22,3,2021,"AVLC1","AVLC","6:21",1,1,"H","","Pellorneum ruficeps","Puff-throated Babbler","PTBA","Passeriformes","Pellorneidae (Ground Babblers and Allies)"
29,12,2020,"AVLC1","AVLC","8:16",2,1,"S","","Pycnonotus jocosus","Red-whiskered Bulbul","RWBU","Passeriformes","Pycnonotidae (Bulbuls)"
22,3,2021,"AVLC1","AVLC","6:21",6,1,"H","","Pycnonotus jocosus","Red-whiskered Bulbul","RWBU","Passeriformes","Pycnonotidae (Bulbuls)"
