"scientific_name","historical_site_code","n"
"Accipiter nisus","OTCM",1
"Accipiter virgatus","CNRG",1
"Acridotheres fuscus","LWSL",1
"Acridotheres tristis","OTCM",1
"Aegithina tiphia","NDVT",1
"Aegithina tiphia","OTCM",1
"Alauda gulgula","OTCM",1
"Alcippe poioicephala","CNRG",1
"Amandava amandava","CNRG",1
"Amandava amandava","LWSL",1
"Amandava amandava","OTCM",1
"Anthus godlewskii","LWSL",1
"Anthus nilghiriensis","CNRG",1
"Anthus nilghiriensis","LWSL",1
"Anthus nilghiriensis","NDVT",1
"Anthus nilghiriensis","OTCM",1
"Anthus richardi","LWSL",1
"Anthus similis","CNRG",1
"Anthus similis","LWSL",1
"Apus affinis","OTCM",1
"Aquila fasciata","OTCM",1
"Argya malcolmi","BGOT",1
"Argya malcolmi","LWSL",1
"Argya striata","LWSL",1
"Argya striata","OTCM",1
"Argya subrufa","CNRG",1
"Argya subrufa","LWSL",1
"Aviceda leuphotes","CNRG",1
"Brachypodius priocephalus","CNRG",1
"Buteo buteo","OTCM",1
"Cacomantis passerinus","LWSL",1
"Cacomantis sonneratii","BVLR",1
"Cacomantis sonneratii","CNRG",1
"Caprimulgus atripennis","LWSL",1
"Carpodacus erythrinus","OTCM",1
"Centropus sinensis","OTCM",1
"Chalcophaps indica","BVLR",1
"Chalcophaps indica","CNRG",1
"Chalcophaps indica","NDVT",1
"Chloropsis aurifrons","CNRG",1
"Chloropsis aurifrons","KULR",1
"Chloropsis aurifrons","NDVT",1
"Chrysocolaptes festivus","CNRG",1
"Chrysocolaptes guttacristatus","CNRG",1
"Chrysocolaptes guttacristatus","LWSL",1
"Chrysocolaptes guttacristatus","NDVT",1
"Chrysocolaptes guttacristatus","OTCM",1
"Chrysomma sinense","OTCM",1
"Cinnyris lotenius","CNRG",1
"Circaetus gallicus","OTCM",1
"Circus macrourus","OTCM",1
"Clamator coromandus","LWSL",1
"Clamator jacobinus","CNRG",1
"Clamator jacobinus","LWSL",1
"Clamator jacobinus","OTCM",1
"Columba elphinstonii","CNRG",1
"Columba elphinstonii","NDVT",1
"Columba elphinstonii","OTCM",1
"Coturnix coromandelica","NDVT",1
"Coturnix coromandelica","OTCM",1
"Cuculus micropterus","CNRG",1
"Cyornis pallidipes","CNRG",1
"Cyornis pallidipes","GDLR",1
"Cyornis pallidipes","LWSL",1
