"scientific_name","n"
"Accipiter nisus",1
"Accipiter virgatus",2
"Acridotheres tristis",2
"Alauda gulgula",8
"Amandava amandava",23
"Anthus godlewskii",1
"Anthus hodgsoni",2
"Anthus richardi",2
"Anthus rufulus",1
"Anthus similis",2
"Apus affinis",1
"Aquila fasciata",1
"Argya affinis",2
"Argya malcolmi",2
"Artamus fuscus",1
"Aviceda leuphotes",1
"Buteo buteo",1
"Cacomantis sonneratii",2
"Caprimulgus atripennis",1
"Chrysocolaptes festivus",1
"Chrysomma sinense",2
"Cinnyris lotenius",2
"Circaetus gallicus",1
"Circus macrourus",1
"Clamator coromandus",1
"Clamator jacobinus",5
"Coturnix coromandelica",2
"Cuculus micropterus",1
"Cyornis pallidipes",8
"Cyornis rubeculoides",1
"Dicaeum agile",3
"Dicaeum erythrorhynchos",2
"Dicrurus caerulescens",2
"Dryocopus javensis",1
"Dumetia hyperythra",1
"Elanus caeruleus",2
"Eumyias thalassinus",2
"Eurystomus orientalis",1
"Falco peregrinus",1
"Falco tinnunculus",1
"Ficedula parva",1
"Ficedula ruficauda",2
"Gallinago nemoricola",2
"Galloperdix lunulata",4
"Geokichla wardii",1
"Haliastur indus",1
"Harpactes fasciatus",10
"Hierococcyx sparverioides",3
"Hierococcyx varius",4
"Hirundapus giganteus",3
"Hirundo rustica",3
"Iduna rama",1
"Lalage melanoptera",2
"Lonchura kelaarti",2
"Lonchura striata",1
"Merops orientalis",1
"Merops philippinus",2
"Micropternus brachyurus",1
"Milvus migrans",1
"Mirafra affinis",2
"Monticola cinclorhyncha",1
"Motacilla alba",1
"Neophron percnopterus",1
"Ocyceros birostris",1
"Oriolus chinensis",1
"Oriolus kundoo",3
"Oriolus xanthornus",1
"Perdicula asiatica",4
"Pericrocotus cinnamomeus",4
"Phylloscopus occipitalis",1
"Phylloscopus tytleri",3
"Picumnus innominatus",3
"Picus chlorolophus",3
"Pitta brachyura",1
"Prinia hodgsonii",1
"Prinia inornata",3
"Ptyonoprogne rupestris",1
"Rhipidura aureola",2
"Sarcogyps calvus",1
"Scolopax rusticola",2
"Sturnia malabarica",3
"Sturnia pagodarum",1
"Surniculus dicruroides",1
"Taccocua leschenaultii",1
"Tephrodornis sylvicola",1
"Terpsiphone paradisi",2
"Yungipicus nanus",1
