"class","Year","Area"
"Shola Forest","1870",138.87539816053
"Shola Forest","1973",277.197219609243
"Shola Forest","1995",280.7860498329
"Shola Forest","2017",284.704330489426
"Shola Grassland","1870",1138.88695971072
"Shola Grassland","1973",354.287418712548
"Shola Grassland","1995",243.622166286429
"Shola Grassland","2017",154.34198243748
"Agricultural Land","1870",3.93027402432593
"Agricultural Land","1973",139.140166054042
"Agricultural Land","1995",134.031180350798
"Agricultural Land","2017",119.058712544105
"Plantations (Tea & Timber)","1870",1.47034254366332
"Plantations (Tea & Timber)","1973",NA
"Plantations (Tea & Timber)","1995",NA
"Plantations (Tea & Timber)","2017",NA
"Settlements","1870",7.21741223387391
"Settlements","1973",24.639363857681
"Settlements","1995",41.48025635957
"Settlements","2017",53.8225827437293
"Water bodies","1870",3.85026157702278
"Water bodies","1973",13.4682273938284
"Water bodies","1995",20.4317252840696
"Water bodies","2017",15.8381940783448
"Tea Plantations","1870",NA
"Tea Plantations","1973",340.169036524082
"Tea Plantations","1995",368.924532202124
"Tea Plantations","2017",370.126623190149
"Timber Plantations","1870",NA
"Timber Plantations","1973",145.394922813968
"Timber Plantations","1995",205.020444649511
"Timber Plantations","2017",296.40392948217
